FlatSize,Speed,Repeat,RMS,Peak,CrestFactor,Kurtosis,Skewness,ShapeFactor,ImpulseFactor,SpectralEntropy,BandEnergy_0_200Hz,BandEnergy_200_1000Hz,BandEnergy_1000_3000Hz,FFT_PeakFreq,FFT_SpectralCentroid,FFT_SpectralRolloff,STFT_SpectralEntropy,CWT_Entropy,ImpactCount
0,5,0,55.70247453408329,214.26744909756113,3.8466414802892634,9692.8302960611,77.09404378875286,1.0002399862106865,3.847564621201988,3.595684834215587,0.001394240511911036,0.06221727532377262,0.9363884841643164,2786.333333333333,1285.945886596269,3253.6666666666665,0.737325391417333,5.662686925872906,0
0,5,1,55.70266673317881,213.92080495556996,3.8404050919190533,9569.176306498672,76.37899309818843,1.0002405074708767,3.8413287380348526,3.7672454060683993,0.0022452774601427073,0.06399695739905059,0.9337577651408067,2786.333333333333,1286.433441883477,3256.0,0.7373294215448676,5.663874539710642,0
0,5,2,55.70262454593047,214.37268207535132,3.8485203134115697,9576.208307800287,76.3819968268138,1.0002417449120828,3.8494506736163845,3.77679747506848,0.002223595301660568,0.0638802885521814,0.9338961161461581,2786.333333333333,1289.6651277288406,3263.0,0.737355238544601,5.6651559343051066,0
0,5,3,55.70328132271151,214.1459382095594,3.8444043712420792,9682.88416840465,77.04941964030465,1.0002397507024288,3.8453260698905045,3.606348228460604,0.0015827410727046298,0.06189460457963379,0.9365226543476616,2786.333333333333,1285.0414651431888,3253.0,0.7373227831388218,5.663907545775265,0
0,5,4,55.70270476141662,214.0044057153927,3.8419033085019296,9446.106801057298,75.638080878821,1.0002423216635583,3.842834284902876,3.935754740753908,0.0030262768095052363,0.06647372760962936,0.9304999955808654,2786.333333333333,1289.677855619045,3265.6666666666665,0.7373712125546391,5.66580593231415,0
0,5,5,55.70300038330048,214.35529558451344,3.8481822183635237,9478.665875738841,75.792682491895,1.000242915113277,3.8491169999830084,3.90994028412502,0.003024348971181376,0.06616498515473265,0.9308106658740859,2786.333333333333,1290.2774673122683,3263.6666666666665,0.7373919610743928,5.666812736536603,0
0,5,6,55.70261334218136,214.2807251469244,3.846870232651332,9730.073168009467,77.31300695910922,1.0002395625354483,3.8477917986378065,3.5448577352328083,0.0012574331065198507,0.06103401230114044,0.9377085545923397,2786.333333333333,1285.2610626794303,3254.0,0.7373143861835864,5.663652705638146,0
0,5,7,55.70301869640358,214.43244246936615,3.8495659209796256,9692.834160494276,77.07997768969342,1.0002404659068422,3.8504916103397626,3.6129761519174277,0.0015083251841422275,0.06250672225394716,0.9359849525619107,2786.333333333333,1287.1835788613555,3256.333333333333,0.7373315267077891,5.663513342259807,0
0,5,8,55.70197310445527,214.13994237589847,3.8443870197260694,9318.160303706403,74.87582057409104,1.000244416790619,3.8453266524633283,4.102530345535987,0.003788084918902764,0.06911720734701896,0.9270947077340782,2786.333333333333,1293.7001696824616,3271.0,0.7374095004210427,5.668724650406709,0
0,5,9,55.701938748471925,214.2635590241102,3.8466086430427544,9564.515585995816,76.32893824149511,1.0002415920032708,3.847537952930626,3.7737628270601644,0.0021776852559476268,0.06474022815268092,0.9330820865913714,2786.333333333333,1287.9765153723702,3258.333333333333,0.737369197353914,5.66409707427861,0
